,c_leading_the_way_day_min,c_consumer_transformation_day_min,c_system_transformation_day_min,c_steady_progression_day_min,c_leading_the_way_day_max,c_consumer_transformation_day_max,c_system_transformation_day_max,c_steady_progression_day_max,combined_leading_the_way,combined_consumer_transformation,combined_system_transformation,combined_steady_progression
2050-01-01,734.1340977836303,928.8664674092915,817.6942162538926,863.7309077815045,1244.6895099608691,1587.2034882404273,1307.8881405557715,1296.3920182882935,967.7423223144554,1231.3098611801852,1045.1084792322392,1067.2803778351654
2050-01-02,797.9317944805576,1015.002849875983,888.8859120500332,935.5621646050402,1386.8596664922084,1772.9518982787342,1450.6166760211827,1428.0060657078611,1067.1365117139399,1362.8404106784888,1149.1788277270957,1166.9563926965905
2050-01-03,819.6238095088955,1044.5261712625152,913.6973568726896,961.0679424234983,1433.8159644549987,1834.7708448559604,1498.9624331255793,1473.6301468618103,1100.337093402648,1407.1288309900956,1184.8482669498333,1201.8723743791115
2050-01-04,831.9290607356809,1062.0493356626469,929.7623625138267,979.0945577438451,1455.9051699190095,1865.4407731328868,1525.7835611013047,1502.383536977868,1117.2157767304739,1430.8268585376152,1206.0168811417873,1225.0485459365568
2050-01-05,836.354934156599,1068.908122267739,936.9679429781655,988.1301014613914,1460.58830309806,1873.3174435085818,1534.9971922327,1514.7853745107413,1121.8843792149546,1438.3279962953388,1214.3008325861097,1235.8009941655118
2050-01-06,827.5531397185949,1057.8475897770695,929.2588102499473,981.9970238595912,1436.1460827822752,1843.0217722486993,1514.664552482377,1499.676424396111,1106.096089790421,1418.6681904717975,1200.9347800466394,1225.6261442071261
2050-01-07,825.8327353140073,1057.1401367075007,931.4848605379159,987.4716352260422,1422.8386703311667,1828.8507857498212,1509.5574012082993,1502.110376355868,1099.3431436280666,1412.1517313951238,1200.0747938515046,1229.9570409114608
2050-01-08,824.9566348572224,1055.6183382349413,929.6373408311192,984.9301009317209,1422.874066855085,1828.222368832796,1507.8613915555834,1499.0476089660078,1098.8327337167532,1410.9685584035117,1198.2372494890508,1227.1155542259464
2050-01-09,828.6958356109502,1060.5540754295198,933.5205546691923,988.6228688793478,1431.8678889449047,1839.7485782550796,1516.3145681120102,1506.3439639174308,1104.9424959209996,1418.884853291312,1204.2009940380958,1232.4677285107587
2050-01-10,823.1719336749244,1053.3708505803852,928.0618948268468,983.6645363777141,1417.9461294758116,1822.1066285906252,1503.7423642633635,1495.9662840302076,1095.6434934711597,1406.9910353581668,1195.5212994727008,1225.0316226395498
2050-01-11,823.4512137917949,1052.8742631052023,926.1312732164562,979.9704108972196,1423.6922488372602,1827.8749975952762,1505.047694383817,1493.3064760871766,1098.2812699439894,1409.172886033119,1194.9241534918274,1221.6718551140364
2050-01-12,823.7903601672527,1053.8254353392963,927.7757300573815,982.6155374415686,1421.5551045002676,1826.0646604707358,1505.4222052957493,1495.8331821110523,1097.5660003818862,1408.9653007765658,1196.071764265725,1224.3450438988723
2050-01-13,829.3677516487513,1060.2574372883714,931.1806886978027,983.8559236888899,1440.4253200850167,1848.5327712267754,1518.755484812316,1503.2712444282256,1109.0244034174743,1422.483148885831,1203.8464983910105,1228.2868023664669
2050-01-14,842.6934580183345,1078.07024597846,945.5917172750467,998.0388971769985,1471.1700949414349,1888.3454248075163,1548.7071578823075,1530.0995023116461,1130.2362933189174,1450.2853496864511,1225.3685906879257,1248.329334608161
2050-01-15,828.5852795328871,1060.09334394384,932.5978020573133,987.0693095152453,1433.448171762419,1841.1932658441183,1516.3098423271306,1504.962247421437,1105.555519762942,1419.2294938283296,1203.6453463063717,1230.9416616423864
2050-01-16,838.6911560921117,1072.3669311516926,940.3565948800853,992.1579167097392,1464.0082937275433,1878.3919821386846,1539.9865658530457,1520.7330518239305,1124.7562542997805,1442.584659820797,1218.4787927347384,1240.7743962764168
2050-01-17,850.1410768265022,1085.7251099593518,947.7414600401347,995.4100657670415,1501.8452008485979,1923.644737604525,1567.2388683227348,1536.5724899758188,1147.891606085508,1470.0529178923482,1234.6250149152197,1249.5348317195458
2050-01-18,853.2797440159347,1089.6611830021727,950.4698387194263,997.5601645095136,1510.6083413830083,1934.4936315985958,1574.4956336972689,1541.930447074148,1153.5419027107978,1477.0782791890788,1239.3815733565284,1253.1281591396978
2050-01-19,859.6999476546541,1098.1811325483409,957.2535615436232,1004.1084647023073,1525.785086624569,1954.0272198423015,1588.9744474343306,1554.626046670271,1163.918161951699,1490.587283681162,1249.6758939672493,1262.5146431146436
2050-01-20,863.1863142935971,1103.4603234773472,962.6122445807571,1010.6586867824159,1530.1992158849316,1960.9331263045522,1596.3285531411034,1563.9373191490936,1167.9074534046647,1496.7233996095267,1256.0523800323542,1270.4473800605338
2050-01-21,874.8957935800776,1119.2748566629389,975.6916415073441,1023.8655657743658,1556.2639495305193,1994.9972100577713,1622.5211704761975,1588.1123620075723,1186.1377499943283,1520.855439248203,1275.1595509839758,1288.7636932893838
2050-01-22,865.8059040314869,1107.10606689469,965.814953156276,1014.1078384890128,1535.3981356097606,1967.9424145460414,1602.1042807748413,1569.7448933467572,1171.7140882744302,1501.923952880554,1260.4568297685653,1275.0133768452865
2050-01-23,864.6821006236212,1105.304328267955,963.8308872705076,1011.5374506849791,1534.5619357445526,1966.2837145048086,1599.8116601444217,1566.3729649952047,1170.6803725146679,1500.1299145667524,1258.2808837836628,1272.021672886552
2050-01-24,846.4547646066634,1081.7895233029683,946.3009139287218,996.0381685901964,1487.5224176782958,1907.0048371205291,1558.1805826100117,1532.825238013127,1139.522689464721,1460.538332603189,1229.8666447738601,1248.3007501995432
2050-01-25,832.4705728064943,1064.1276272318482,933.8241894550564,985.8854338563328,1449.2111277549602,1859.3764742612568,1525.9456754451758,1508.4904860732768,1114.6629382529613,1429.4667512922772,1208.5235132911757,1231.7481484044386
2050-01-26,837.6218499730885,1070.3704081557237,937.7445779097598,988.417563533544,1464.8674177711337,1878.4140672550789,1538.0249051291935,1516.4795515655173,1124.4840434791627,1441.3963169058318,1216.0683777014115,1236.7017760073618
2050-01-27,840.7222884028944,1074.7212411704497,941.6272625139893,992.6644707425785,1470.8102104615386,1886.5064585876034,1544.8328689578623,1523.4860589438981,1128.8989552284677,1447.485515804014,1221.324538541679,1242.2618090031679
2050-01-28,834.9375358209728,1068.0915822637642,938.2021649582468,991.5682786450878,1450.9951670644023,1862.9677548833872,1530.9715648070423,1515.9250877592508,1116.9099681965386,1433.3888402024781,1213.3107275042616,1238.3537237725848
2050-01-29,851.6606830710542,1088.9902091050426,952.5514274738796,1002.6884500087348,1498.115290449969,1921.1868749957464,1569.693374450249,1544.2017823894785,1147.199847423365,1470.9552329941987,1238.5659868742173,1257.1813657856324
2050-01-30,855.4199222209262,1093.591936404394,955.5303177685403,1004.7471180073467,1509.2713114353496,1934.8193258505203,1578.4726273829838,1550.202119956568,1154.2511470563677,1479.5765941785987,1244.1273501102353,1260.9959934301
2050-01-31,859.1906294862864,1097.4323360816768,956.5282938445151,1003.2544799271176,1525.0086710597416,1952.8911112277337,1587.8826232705846,1553.3488658413075,1163.2788146285488,1489.649628882297,1248.77139312148,1261.453233346182
2050-02-01,853.9691833047913,1090.663069353975,951.421510720728,998.6623735885368,1511.7280901137806,1936.0980181120258,1575.9827146226494,1543.615883351395,1154.4369124743562,1478.369087809572,1240.5918263892775,1254.5140003089273
2050-02-02,851.4712393111926,1087.5623540712459,949.3318518633148,997.0973442030921,1504.5670346541597,1927.2831361390804,1570.1825236984798,1539.4696741974785,1149.8597510656336,1472.7193175656018,1236.8446471515424,1251.7926145595156
2050-02-03,850.5208370909853,1086.6007322396022,949.0966011230687,997.5026802506137,1500.5632329818159,1922.692169391323,1567.8058022350083,1538.7000468213214,1147.5683380679093,1470.1687548069515,1235.6817687285939,1251.7049428552464
2050-02-04,848.3166181774419,1084.301189207207,948.3731276590804,998.124774297119,1491.6838651578132,1912.4376521206775,1562.3475772268903,1536.6583964241686,1142.4287091883693,1464.3807673640988,1232.9012571967478,1251.200483254986
2050-02-05,859.0023267327653,1097.7223406604255,957.7149803089901,1005.5395905827176,1521.3972230839736,1949.2560170661015,1587.0374221230163,1554.9762277280215,1161.6133023454263,1488.2609172983327,1249.120013005699,1263.5238042556884
2050-02-06,859.2029708671668,1097.5311573774798,956.7529282727055,1003.645341011464,1524.5543358953505,1952.4610534963253,1587.8462371674987,1553.6786352229929,1163.0909032684194,1489.52403886125,1248.8905230082307,1261.8295006936346
2050-02-07,844.415922974971,1078.2760614849485,942.073356981901,990.2521935002318,1487.4403802148772,1905.383395098988,1554.2118297307943,1525.8014691144444,1138.2641953768034,1457.7333430571987,1225.6241319790247,1241.8099149368918
2050-02-08,837.9049817200738,1069.9737031785228,936.0612593364476,985.1622021009784,1470.0668353535716,1883.6566284835483,1539.265100724625,1514.1783853031393,1126.8891072639103,1443.4120519224532,1215.591603143978,1233.759427781164
2050-02-09,845.26220759048,1079.5986549519118,943.4796570062322,992.0308560311155,1488.2707333233757,1906.8265359575544,1555.9649465027574,1528.2139909387656,1139.1288970311143,1459.1472451844356,1227.2215114449739,1243.9141715320425
2050-02-10,848.0637857439724,1083.2744735055403,946.3320084251502,994.6955154529213,1495.1398526759767,1915.5887408705146,1562.3157864772875,1533.5983049584088,1143.7627258583443,1465.1194097924104,1231.6629973684705,1247.8275462766828
2050-02-11,853.8393735247216,1091.502142230961,953.8799811236295,1003.1702603822725,1505.4900197127176,1929.9669318281506,1574.9022009601913,1547.1051086460157,1151.6773259326437,1476.236785444102,1241.6023085089973,1258.7185544800086
2050-02-12,854.988740656284,1092.9870504749617,954.9908345744317,1004.1573649892646,1508.4437292468979,1933.69283303271,1577.525688389171,1549.2284185989201,1153.6366824994502,1478.7294139462576,1243.396598022943,1260.2235764128714
2050-02-13,840.470152710214,1074.19818196504,940.8771572260066,991.5425911129196,1471.319462099556,1886.8082552623353,1544.411053432514,1522.2894261553593,1128.9666074386564,1447.3014407742721,1220.6931684264569,1241.0742996806757
2050-02-14,825.1441671563501,1053.8968629036017,924.7785480892474,976.0809243317624,1434.8728757483968,1839.9683846443218,1509.8190831520953,1492.1204510675389,1104.1034553456816,1414.9852746383792,1196.1637591565534,1218.828448073757
2050-02-15,798.7464540216743,1020.1345205746609,900.1426297377515,954.9781989955834,1365.0299491442124,1752.456328187158,1449.2987534287106,1444.6200317564608,1058.2408234890263,1357.1083046193814,1155.365859955394,1185.7475033727262
