,0
01-01,0.2485392458859702
01-02,0.2629924107327718
01-03,0.28822276971381156
01-04,0.31381959763383804
01-05,0.3153712443453297
01-06,0.3140294980897187
01-07,0.2958266290057603
01-08,0.29314677703179964
01-09,0.2946756470068437
01-10,0.2945107127879817
01-11,0.31484348804515677
01-12,0.3173928823070489
01-13,0.3208573456957887
01-14,0.312063186533986
01-15,0.30958043442373373
01-16,0.3194533110723786
01-17,0.31995929267886375
01-18,0.3300336274025648
01-19,0.32979280368916175
01-20,0.3304982882936142
01-21,0.3114270599671407
01-22,0.29654040760704337
01-23,0.29943439406806704
01-24,0.2971560311967832
01-25,0.30720485845395784
01-26,0.3125203456730362
01-27,0.31086905519249663
01-28,0.30070638936839333
01-29,0.2967708105244786
01-30,0.3033795148920362
01-31,0.3075618955697016
02-01,0.32266313277126535
02-02,0.3283279487468441
02-03,0.32950181993347094
02-04,0.31564601303395773
02-05,0.3024436324454583
02-06,0.30697674973355427
02-07,0.30648476425476956
02-08,0.33271678412335065
02-09,0.33387940225889734
02-10,0.3304027092652273
02-11,0.3186960989214747
02-12,0.31212323370274314
02-13,0.31168293627148147
02-14,0.3035869371546289
02-15,0.32095008003620873
02-16,0.3215753694955691
02-17,0.31651767206211023
02-18,0.3004750927868499
02-19,0.2963404324964827
02-20,0.29906955553763614
02-21,0.2899571214618387
02-22,0.30893395584290506
02-23,0.30807262646502753
02-24,0.30911089888003784
02-25,0.2972181096477228
02-26,0.2922930572500868
02-27,0.2961412536023478
02-28,0.2921214836277929
02-29,0.30911385243079215
03-01,0.3032019372014092
03-02,0.3057918762548737
03-03,0.292724766125823
03-04,0.2928522184507398
03-05,0.2989143084725922
03-06,0.297769490081873
03-07,0.31671619675039586
03-08,0.3185860877621176
03-09,0.3119722937176535
03-10,0.29414792545671764
03-11,0.28361477045146377
03-12,0.28508278590037117
03-13,0.28276170995645955
03-14,0.2998122928630332
03-15,0.304377491413224
03-16,0.2998889685300764
03-17,0.2849975026563105
03-18,0.28395299481764585
03-19,0.28781800829382426
03-20,0.28215210307258887
03-21,0.29530669781372076
03-22,0.29597472893260335
03-23,0.29274099527252057
03-24,0.27325293479050305
03-25,0.24762177064910268
03-26,0.2615384880766258
03-27,0.2560696677892681
03-28,0.26251787843722285
03-29,0.27979843711279617
03-30,0.2792940069234154
03-31,0.2663943728909112
04-01,0.2607558117124228
04-02,0.2659911052813453
04-03,0.26753167881352036
04-04,0.28807124983851673
04-05,0.28290012818689264
04-06,0.2685917356510579
04-07,0.2663920068308543
04-08,0.2596092544755984
04-09,0.25142657186691186
04-10,0.25885502730465143
04-11,0.278585515045194
04-12,0.2822505226704599
04-13,0.27797323789701445
04-14,0.2660175306140615
04-15,0.2649449942459846
04-16,0.2700799687034917
04-17,0.2679851632494084
04-18,0.28624734189002604
04-19,0.2850270556507268
04-20,0.2794729828547864
04-21,0.2650493990189302
04-22,0.2612036005797507
04-23,0.2660120210861972
04-24,0.2650866814719782
04-25,0.2876475535860292
04-26,0.286480660221231
04-27,0.2857176019922583
04-28,0.2736161627688185
04-29,0.27041566585679105
04-30,0.266590293566701
05-01,0.2617058315797437
05-02,0.261380853091628
05-03,0.2783624853810531
05-04,0.2765625904299162
05-05,0.25965824507008606
05-06,0.25139304911170113
05-07,0.24057826493123372
05-08,0.24736771288862366
05-09,0.26652832943720783
05-10,0.2709950528009879
05-11,0.2681886058390893
05-12,0.24890687912952747
05-13,0.24198223354892429
05-14,0.2490982558976164
05-15,0.2514670182164996
05-16,0.266843658068107
05-17,0.2668300108187275
05-18,0.26547511293099924
05-19,0.2503743995601708
05-20,0.24292855509809505
05-21,0.24480260003557375
05-22,0.2426392224348583
05-23,0.2583791571896873
05-24,0.25758962725490375
05-25,0.25685481354436696
05-26,0.24289306301659885
05-27,0.23519391578689489
05-28,0.2396826060365867
05-29,0.23410706996166813
05-30,0.23803781685246206
05-31,0.2523830370104646
06-01,0.25323243514799243
06-02,0.23840207389219142
06-03,0.23657484138663742
06-04,0.22243561785789778
06-05,0.2234152117222551
06-06,0.25304706401914395
06-07,0.2587877064713248
06-08,0.25728285449564026
06-09,0.24327608637791606
06-10,0.24010533979626877
06-11,0.24535016688339353
06-12,0.24525034778108384
06-13,0.26038875317088983
06-14,0.26088104334481266
06-15,0.259441872075778
06-16,0.24574369141980978
06-17,0.23900507345775196
06-18,0.2407233227499079
06-19,0.23808461525095426
06-20,0.25487035215122134
06-21,0.25876452324318777
06-22,0.2575101496200009
06-23,0.243932351104331
06-24,0.23567694011332674
06-25,0.23815063423087374
06-26,0.23916841483904094
06-27,0.2555879662903457
06-28,0.26173618782978497
06-29,0.2537964480999847
06-30,0.23863497524927466
07-01,0.22958148516603832
07-02,0.23472318919078305
07-03,0.23849342183640887
07-04,0.2569970432702585
07-05,0.2551248505504702
07-06,0.2543018834923001
07-07,0.2405905524566301
07-08,0.23285075139982708
07-09,0.23756201791694173
07-10,0.2367368754596632
07-11,0.25119851540173865
07-12,0.25503105066651677
07-13,0.2518509197367401
07-14,0.23873480868752078
07-15,0.23320824279077268
07-16,0.23880171539119072
07-17,0.23666531096665586
07-18,0.2560155719789017
07-19,0.26047643310974894
07-20,0.25766711549182697
07-21,0.23884718240343814
07-22,0.233038808704192
07-23,0.23651771202479588
07-24,0.23557830231849078
07-25,0.25008561620637115
07-26,0.25061902917556944
07-27,0.24764083175870036
07-28,0.2327232130869538
07-29,0.22708945596456337
07-30,0.22838607320120058
07-31,0.22853745806038211
08-01,0.2475173555285935
08-02,0.24918612361520354
08-03,0.2406563724652812
08-04,0.23045419687291469
08-05,0.22970940440346296
08-06,0.23179206976084782
08-07,0.22705381384783127
08-08,0.24408361039601262
08-09,0.2465539112237765
08-10,0.2466310789587784
08-11,0.23202067915590907
08-12,0.22813043356184515
08-13,0.23526253094825209
08-14,0.23652537340809332
08-15,0.2533258061232001
08-16,0.25253788164384994
08-17,0.2522611560634038
08-18,0.23989778377638338
08-19,0.23451896512714576
08-20,0.2330540064239921
08-21,0.23276407393117277
08-22,0.25069006905709645
08-23,0.255707155869856
08-24,0.25439691279740606
08-25,0.24278040153883046
08-26,0.22984343118439604
08-27,0.22295356200938973
08-28,0.23261223332515202
08-29,0.2388588153179836
08-30,0.252915076744764
08-31,0.25107171166465836
09-01,0.2384224830643436
09-02,0.23407187284273262
09-03,0.2385198360700102
09-04,0.2387066418053933
09-05,0.25705370591398413
09-06,0.26092814496873223
09-07,0.25986091841607334
09-08,0.24213092333308409
