,0
01-01,0.2640978362778187
01-02,0.2938939986955499
01-03,0.3048705683208839
01-04,0.31387686348442356
01-05,0.31910980212574896
01-06,0.317949801751037
01-07,0.3229366036867469
01-08,0.32131250734340916
01-09,0.32265474579123626
01-10,0.3210601216959088
01-11,0.31805888744324334
01-12,0.3199854497354153
01-13,0.3186533859009856
01-14,0.3242358459921536
01-15,0.3214866514361184
01-16,0.3212926315695284
01-17,0.3191093691736197
01-18,0.3194941748676017
01-19,0.32196115601376063
01-20,0.32564007408450013
01-21,0.33112678633175613
01-22,0.3272539154982102
01-23,0.3257094742455733
01-24,0.32112095997613505
01-25,0.31895877188969846
01-26,0.31881167874389976
01-27,0.32085037362345337
01-28,0.3223806406701195
01-29,0.32416860011469495
01-30,0.3242259420860396
01-31,0.3215041196929854
02-01,0.3200708207367339
02-02,0.3198787483135155
02-03,0.32058752892605225
02-04,0.3219829468968918
02-05,0.323367035808335
02-06,0.3218043853864333
02-07,0.31744188807602414
02-08,0.31615163671889346
02-09,0.3184822975725744
02-10,0.3194081755648403
02-11,0.3236461321727229
02-12,0.32394309755221345
02-13,0.32007793860162576
02-14,0.31432177878527157
02-15,0.30872652860688815
02-16,0.3060126370168716
02-17,0.30414362951286256
02-18,0.30811219413537727
02-19,0.307683372436052
02-20,0.30527278779587275
02-21,0.3037784517937753
02-22,0.3054898435057698
02-23,0.3074217104039734
02-24,0.3045681185877798
02-25,0.3072711203544646
02-26,0.30806504840128807
02-27,0.3074855465344918
02-28,0.30795224686491607
03-01,0.3068959503894781
03-02,0.3076205296677468
03-03,0.31003149590834006
03-04,0.3111996532799613
03-05,0.30946756326817715
03-06,0.3043812422798811
03-07,0.2987956387330321
03-08,0.29787887360008414
03-09,0.2988705634727892
03-10,0.29794907131732606
03-11,0.30365858427514963
03-12,0.3036345614977782
03-13,0.2995296221380025
03-14,0.2946060434724356
03-15,0.2912738994954503
03-16,0.29223207286577835
03-17,0.2953539141190937
03-18,0.2985242650821379
03-19,0.29740611476465056
03-20,0.29476897128463897
03-21,0.2899389384069184
03-22,0.29017961779669654
03-23,0.2918110098424174
03-24,0.2911226483864533
03-25,0.2935149190192466
03-26,0.29311324485154844
03-27,0.291893575470531
03-28,0.2878047869219035
03-29,0.2820734676597081
03-30,0.28082418595418435
03-31,0.2818400379710103
04-01,0.28169281850159056
04-02,0.27910618406199134
04-03,0.2801441399616364
04-04,0.2792398471992573
04-05,0.27147785169489774
04-06,0.2692438197734687
04-07,0.2712940322917131
04-08,0.27264434002650106
04-09,0.27178292055457715
04-10,0.2673889685208289
04-11,0.2671977372927306
04-12,0.2677824732439176
04-13,0.26665826382616753
04-14,0.26483593152235396
04-15,0.26909705411370594
04-16,0.2661007360635131
04-17,0.26165651565236986
04-18,0.25760538775661534
04-19,0.25584013509750164
04-20,0.2583422340925074
04-21,0.253036238268888
04-22,0.2548679609220148
04-23,0.25935816214161056
04-24,0.25923928175856215
04-25,0.2555797140118896
04-26,0.2582605999871437
04-27,0.2634146262894508
04-28,0.26251509496128006
04-29,0.26283606804528203
04-30,0.2636168627928235
05-01,0.25905487449505954
05-02,0.2553630847648176
05-03,0.25388681276834224
05-04,0.25050309745357224
05-05,0.25246920864993316
05-06,0.25279875254837586
05-07,0.2563863853934044
05-08,0.26174416107020976
05-09,0.25686977938531935
05-10,0.25526777200679973
05-11,0.2554166558042381
05-12,0.25668087931791483
05-13,0.25822214480750405
05-14,0.259000152090597
05-15,0.25825701946744534
05-16,0.25335634668810547
05-17,0.2525949958899039
05-18,0.2524162181533576
05-19,0.2524446225642058
05-20,0.25547916841079255
05-21,0.25384921874429506
05-22,0.25221970923324133
05-23,0.24902371089350384
05-24,0.24751599768153343
05-25,0.2399555109166101
05-26,0.2413479509340205
05-27,0.2421296393772544
05-28,0.24469437445160175
05-29,0.24642935181610692
05-30,0.24107457867377846
05-31,0.23839348140015146
06-01,0.24431750541927066
06-02,0.24436373969419034
06-03,0.24673629093886484
06-04,0.24710684629229723
06-05,0.2479841955092837
06-06,0.24460495953698613
06-07,0.24402597204040052
06-08,0.2448558186309272
06-09,0.24532529640759154
06-10,0.2502704292321648
06-11,0.24983231675067014
06-12,0.24941102601862886
06-13,0.24697324173881277
06-14,0.245174687305043
06-15,0.24431185900598434
06-16,0.24389135168449735
06-17,0.24960823996636694
06-18,0.24945407612093598
06-19,0.24863974793123356
06-20,0.2454610273265396
06-21,0.24377358303699057
06-22,0.24440237858100433
06-23,0.24446099681620304
06-24,0.24803026805347958
06-25,0.24933927501077077
06-26,0.2482768976418964
06-27,0.24624763601780522
06-28,0.2444039078986781
06-29,0.24532108179803425
06-30,0.24593258470145418
07-01,0.24993048886194844
07-02,0.24985364482220943
07-03,0.2482135817774208
07-04,0.24463923602873264
07-05,0.2433615742028111
07-06,0.24533709235093967
07-07,0.24535893173866455
07-08,0.2489051262787407
07-09,0.24860542649953402
07-10,0.24845374292771424
07-11,0.24381259949253753
07-12,0.24277127164964435
07-13,0.24390159638294284
07-14,0.24496237524528297
07-15,0.24888347192750335
07-16,0.24938499880692178
07-17,0.24882512787115432
07-18,0.2450050863253299
07-19,0.24463804250618004
07-20,0.24369765879733396
07-21,0.2432616058349884
07-22,0.24775288196047995
07-23,0.24810030552493506
07-24,0.2470169537025428
07-25,0.2434569409919797
07-26,0.2426332951150384
07-27,0.24103483519555435
07-28,0.23792764530479138
07-29,0.24151085976235512
07-30,0.24084059100496313
07-31,0.23963406769256324
08-01,0.23787361915054797
08-02,0.23689910924306876
08-03,0.23746281384513437
08-04,0.23801859152590188
08-05,0.2416255895201311
08-06,0.24095680787254586
08-07,0.24028187021642333
08-08,0.23709155298307236
08-09,0.23722624301432596
08-10,0.23881909720405758
08-11,0.2388941347615332
08-12,0.2434081739778888
08-13,0.24353850669740731
08-14,0.24511166730632278
08-15,0.24065900475220284
08-16,0.23930757154716856
08-17,0.24044532233656982
08-18,0.24089490626891732
08-19,0.24570436091860204
08-20,0.24723121546930715
08-21,0.24631298329613646
08-22,0.24299740489049546
08-23,0.24323967823284098
08-24,0.24245052313208978
08-25,0.23863242912568822
08-26,0.24129068619763944
08-27,0.24261716910260014
08-28,0.24162087911552405
08-29,0.23820745912463753
08-30,0.23683594091370408
08-31,0.235834796421876
09-01,0.24192447451041582
09-02,0.24784180751949794
09-03,0.2502583181753135
09-04,0.24990285904004697
09-05,0.24758019367786271
09-06,0.24744971827881437
09-07,0.24756047723502606
09-08,0.249283918167669
09-09,0.25319439040853076
09-10,0.2525024818510661
09-11,0.252216082115787
09-12,0.24861706188847363
09-13,0.24793351996724647
09-14,0.250417860954228
09-15,0.25166387070646984
09-16,0.25674486281559705
09-17,0.2568960144692489
09-18,0.25517596961778266
09-19,0.2530183386537656
09-20,0.25161032117488324
09-21,0.25224224259581457
09-22,0.2540342795463684
09-23,0.25813146261760156
09-24,0.2571881478661677
09-25,0.25780997464727673
09-26,0.2540132330768272
09-27,0.2524475139022815
09-28,0.25390169466285883
09-29,0.2550126078513709
09-30,0.259005219250498
10-01,0.25979058531736154
10-02,0.2599452738707729
10-03,0.25858157788694147
10-04,0.25698338332075
10-05,0.259445532633656
10-06,0.2613968704493269
10-07,0.26512250386365455
10-08,0.2651238485868998
10-09,0.26419158766962975
10-10,0.25927851544774316
10-11,0.25939267493259766
10-12,0.2626833720375863
10-13,0.2637160316940407
10-14,0.2695569037985737
10-15,0.2708299474700868
10-16,0.2695985157095504
10-17,0.2666614489153653
10-18,0.26736178565548174
10-19,0.26959392884594763
10-20,0.27025712313375255
10-21,0.2742562393150807
10-22,0.2738341915502276
10-23,0.2730388886294602
10-24,0.26843564512483664
10-25,0.2675690514434358
10-26,0.27025319263661796
10-27,0.27123912786059
10-28,0.2755538858869429
10-29,0.27774193964094024
10-30,0.2789361805798355
10-31,0.27452979493538837
11-01,0.272706501178797
11-02,0.2763727313121872
11-03,0.2777198819940146
11-04,0.2835655927985708
11-05,0.2842602929150824
11-06,0.2862851298606124
11-07,0.28373124996121746
11-08,0.28615377146505083
11-09,0.28956488294011967
11-10,0.28810511312374776
11-11,0.2927158631140674
11-12,0.2909041873793425
11-13,0.29159972202193507
11-14,0.29034699417217846
11-15,0.2884087354316826
11-16,0.2896199361164975
11-17,0.2914638871396723
11-18,0.29588022394054875
11-19,0.29853288115547083
11-20,0.30002854735639145
11-21,0.29862530082771105
11-22,0.29744148569931866
11-23,0.30014847394506844
11-24,0.2997891810857713
11-25,0.3054443461868374
11-26,0.30657869322492926
11-27,0.3047887144893603
11-28,0.30295913470500324
11-29,0.3025447910053358
11-30,0.3071468180403172
12-01,0.30937365978980624
12-02,0.31169619973928114
12-03,0.31126462395885013
12-04,0.3127428251519303
12-05,0.31012947763521015
12-06,0.3055069296836803
12-07,0.3058637659131697
12-08,0.3090908227760063
12-09,0.31583243038484915
12-10,0.31712524382785556
12-11,0.3179415002560559
12-12,0.3146482973564455
12-13,0.3137085634856772
12-14,0.3164035604224653
12-15,0.31640570829129944
12-16,0.31889779464337953
12-17,0.31778066651676773
12-18,0.3158176513148365
12-19,0.31109506165806555
12-20,0.3059560137277608
12-21,0.3032078891815157
12-22,0.2956785923008945
12-23,0.29428078145573994
12-24,0.27881249691567983
12-25,0.2520778612342533
12-26,0.24980503247234967
12-27,0.26885776639911074
12-28,0.27421189002044927
12-29,0.2787807257707123
12-30,0.279703605090121
12-31,0.2718165252998681
