,0
01-01,0.4109540459446918
01-02,0.35733493199190713
01-03,0.3728452887870602
01-04,0.41099679227595
01-05,0.40785753553814214
01-06,0.4184193923092949
01-07,0.4494783039360566
01-08,0.46837816452328085
01-09,0.41342140165762586
01-10,0.4379123526816806
01-11,0.4805617109498679
01-12,0.49887973313141165
01-13,0.5173706631875502
01-14,0.5546658005848005
01-15,0.5607088972376315
01-16,0.5501076028118054
01-17,0.5392706563105827
01-18,0.5500726598795577
01-19,0.5608765366183388
01-20,0.5657131747241967
01-21,0.5580264507604958
01-22,0.4761846269420753
01-23,0.42103779650364315
01-24,0.3462030443998758
01-25,0.3703540116102798
01-26,0.415308250354908
01-27,0.39497946214266355
01-28,0.45423584242735476
01-29,0.41151000609722743
01-30,0.4382162750650225
01-31,0.42939013791824887
02-01,0.4044213564632722
02-02,0.4575247270468942
02-03,0.49076766242986525
02-04,0.4276725944696737
02-05,0.4012752522439973
02-06,0.40159410291956005
02-07,0.4305129711494271
02-08,0.4790308581509354
02-09,0.4808059432237407
02-10,0.4812476127660713
02-11,0.49460856311038004
02-12,0.4980367196053408
02-13,0.49620369018378463
02-14,0.49778259856945406
02-15,0.553697621954775
02-16,0.5404324389890339
02-17,0.5255896613254755
02-18,0.4953932749832382
02-19,0.4843507030251267
02-20,0.4158609742700293
02-21,0.3710462904027267
02-22,0.4283560121580504
02-23,0.4600147177878577
02-24,0.5028700038474786
02-25,0.5170234419786974
02-26,0.49738487211869786
02-27,0.48690644058215804
02-28,0.48170074004229024
02-29,0.5023981975138825
03-01,0.4468530799781233
03-02,0.4977366271811038
03-03,0.47256541993768214
03-04,0.4838191050274688
03-05,0.48142860378065366
03-06,0.4836484453293186
03-07,0.4930634644847242
03-08,0.5042050256175682
03-09,0.4826199509576306
03-10,0.46921344988459224
03-11,0.43570481554338314
03-12,0.3857869924238705
03-13,0.37233015497837774
03-14,0.40409634123758675
03-15,0.4280338893748733
03-16,0.4171277152506216
03-17,0.40300323322206505
03-18,0.45171232446243526
03-19,0.4089534623923847
03-20,0.36763720101549097
03-21,0.38267909812014334
03-22,0.37334354217269056
03-23,0.38071789841720927
03-24,0.38126102961593006
03-25,0.2961301581316055
03-26,0.3195842630833298
03-27,0.327528343854485
03-28,0.3580366376593094
03-29,0.3739774703980154
03-30,0.3495785581150929
03-31,0.3282976704394546
04-01,0.35448164087545925
04-02,0.29112610960872076
04-03,0.2679536271890497
04-04,0.28968205663830193
04-05,0.2918824341778058
04-06,0.32739316910128313
04-07,0.346933678219135
04-08,0.3072348570435669
04-09,0.2992994659448757
04-10,0.299596661966907
04-11,0.30393145337818184
04-12,0.28905301071990386
04-13,0.26270113606931106
04-14,0.26362711154539603
04-15,0.3026583792109411
04-16,0.316534220424849
04-17,0.2939465364011465
04-18,0.3120348938027257
04-19,0.25318996311545366
04-20,0.23901824003321318
04-21,0.24528519911173863
04-22,0.2814654853290523
04-23,0.276156104770542
04-24,0.28916504779642643
04-25,0.31708373814967183
04-26,0.34812796512206595
04-27,0.3405700629264314
04-28,0.35135281607698293
04-29,0.34099929715545607
04-30,0.2852606857440289
05-01,0.2618702571524651
05-02,0.24343110177064028
05-03,0.24758614131970386
05-04,0.2166767112987924
05-05,0.17710033188704322
05-06,0.15838312282516318
05-07,0.14218411478625256
05-08,0.13268802874543645
05-09,0.1332560359280067
05-10,0.14738289237747884
05-11,0.15158811433664393
05-12,0.1441012595943908
05-13,0.16758761628165314
05-14,0.17071802402740646
05-15,0.16820673617029677
05-16,0.16996846075813873
05-17,0.16437731511846776
05-18,0.180356518256929
05-19,0.18076415187064598
05-20,0.1611282699464288
05-21,0.1547517527948931
05-22,0.1476806334402147
05-23,0.15734572612196718
05-24,0.16082538966228022
05-25,0.2074166295135204
05-26,0.1817919556245181
05-27,0.15411030883092958
05-28,0.1302700951806981
05-29,0.13085495064289426
05-30,0.1420605519622153
05-31,0.1791228540264796
06-01,0.19230870561889984
06-02,0.18297896996081708
06-03,0.1736492343027343
06-04,0.13533472101819874
06-05,0.12268696202598589
06-06,0.12407601875884955
06-07,0.11689102759019991
06-08,0.11830356369833843
06-09,0.12036656302948426
06-10,0.11426662422132738
06-11,0.11074556926504613
06-12,0.11215395467858828
06-13,0.12853721233013982
06-14,0.13054733898616794
06-15,0.1316691587677284
06-16,0.13443500182990148
06-17,0.132718940705704
06-18,0.12284682968526212
06-19,0.1193556590313046
06-20,0.12392905062917163
06-21,0.1135554280908876
06-22,0.11151980168220366
06-23,0.10950100328881174
06-24,0.10744039840999199
06-25,0.10140612419595046
06-26,0.10766310623450165
06-27,0.1131074260606787
06-28,0.12274595569455467
06-29,0.13350810933447727
06-30,0.12071250921576564
07-01,0.11784495620088138
07-02,0.11178802203600888
07-03,0.10384601265245451
07-04,0.10660769966279353
07-05,0.10627397170522973
07-06,0.10475118061733389
07-07,0.09995158221997251
07-08,0.09321432242456652
07-09,0.08676566936870383
07-10,0.08476653692904179
07-11,0.09559512683823113
07-12,0.10190968357613216
07-13,0.10222298135836282
07-14,0.09710312123561467
07-15,0.09053698419003435
07-16,0.07778491442267133
07-17,0.07473153932942111
07-18,0.0769095105716526
07-19,0.07225493259868214
07-20,0.07304471195255258
07-21,0.07503879065368166
07-22,0.07326408873983313
07-23,0.06708111437787469
07-24,0.06885306034231445
07-25,0.0765542390650087
07-26,0.07922553456834483
07-27,0.06598005365945717
07-28,0.06908658256634236
07-29,0.07218896380663509
07-30,0.07529134504692782
07-31,0.07632941862546036
08-01,0.07963315933097345
08-02,0.08293689980356315
08-03,0.07947345495098522
08-04,0.08144950910942939
08-05,0.07796405276470489
08-06,0.0691848948657383
08-07,0.06713812586849649
08-08,0.079429066509912
08-09,0.08236246253821917
08-10,0.08529585879944973
08-11,0.08822925482775691
08-12,0.07923821608166129
08-13,0.07024717733556567
08-14,0.07202023317990171
08-15,0.07182944633973319
08-16,0.0781346833474328
08-17,0.07186106429075956
08-18,0.07824107040157467
08-19,0.08070214603439045
08-20,0.07541286816094375
08-21,0.07542474608860604
08-22,0.0774317096451606
08-23,0.07943867320171517
08-24,0.07816549561649458
08-25,0.07937847275712487
08-26,0.07671434244274349
08-27,0.07239143385052185
08-28,0.07388434948718232
08-29,0.07537726512384281
08-30,0.07609395428630651
08-31,0.07895188803152517
09-01,0.0818098220096672
09-02,0.08466775575488587
09-03,0.08048328680285585
09-04,0.07950437599526453
09-05,0.0870880721257814
09-06,0.08187125648231429
09-07,0.07832291362060413
09-08,0.08260928212497504
09-09,0.08234118242547962
09-10,0.08293571795034306
09-11,0.08453526614238585
09-12,0.08922913479537813
09-13,0.08612158219024653
09-14,0.08644203491280329
09-15,0.08704978977106306
09-16,0.09142800205969882
09-17,0.09383108093600377
09-18,0.09483243274645071
09-19,0.10640294929903592
09-20,0.11132078216523893
09-21,0.11140496090697982
09-22,0.11316000688280374
09-23,0.11686571976640758
09-24,0.10323114454715329
09-25,0.107317936847686
09-26,0.14092675875440758
09-27,0.13367116641356874
09-28,0.1262511660380459
09-29,0.13187627842808722
09-30,0.1474155095697969
10-01,0.16351189506220123
10-02,0.1637520451209508
10-03,0.18073954025483055
10-04,0.16967278199899188
10-05,0.17082347053694788
10-06,0.19190503077091575
10-07,0.19863730810234245
10-08,0.1818121545069369
10-09,0.19850454177686933
10-10,0.24234404859833034
10-11,0.2538262820663305
10-12,0.2409857142261045
10-13,0.2547505674503845
10-14,0.25097107166124766
10-15,0.22562467878551756
10-16,0.22904019080197888
10-17,0.2370277513801096
10-18,0.2745373143123939
10-19,0.2837636510903515
10-20,0.2826847201891565
10-21,0.2932533471112149
10-22,0.2911988755707853
10-23,0.2970565670780969
10-24,0.32173026302977054
10-25,0.302881816085624
10-26,0.27610218743407383
10-27,0.2784553268393605
10-28,0.2499041267641624
10-29,0.2381970272036318
10-30,0.24940036776864571
10-31,0.2840262766246166
11-01,0.3186521852476641
11-02,0.3727801103040348
11-03,0.39535201213841253
11-04,0.36554047950352175
11-05,0.38848980362487007
11-06,0.4250060720322
11-07,0.4528893126119272
11-08,0.47842297029342673
11-09,0.45953146466777206
11-10,0.43907112016700334
11-11,0.4264958322558584
11-12,0.3725031189875067
11-13,0.3655773855139993
11-14,0.35196122335362456
11-15,0.30611766591537454
11-16,0.33444436931451976
11-17,0.4129053925228888
11-18,0.4615085891091383
11-19,0.4484278458215145
11-20,0.44313772429959264
11-21,0.4584108861348931
11-22,0.4305519979272616
11-23,0.4392739840843223
11-24,0.4461151367903383
11-25,0.44819968991919285
11-26,0.4449197143859395
11-27,0.4245784202846056
11-28,0.46359413239527275
11-29,0.5331302540531957
11-30,0.5388719068603502
12-01,0.4987145715895997
12-02,0.46014821595858457
12-03,0.4403062143140704
12-04,0.47912904141077983
12-05,0.5317874517105865
12-06,0.4819608947253613
12-07,0.37000034634325074
12-08,0.3476681359414912
12-09,0.32796739091250243
12-10,0.32559288684328996
12-11,0.38044647699741985
12-12,0.4293539539702431
12-13,0.3845174591578225
12-14,0.36564842528090935
12-15,0.39283172225858903
12-16,0.3800062876831566
12-17,0.39742347706973263
12-18,0.40591108104965384
12-19,0.44224820575771245
12-20,0.45526436847662216
12-21,0.44156702203745435
12-22,0.4533251623307345
12-23,0.42433991280151784
12-24,0.3887469512671308
12-25,0.2997529947809983
12-26,0.39188628230749617
12-27,0.4716921277700087
12-28,0.5123459152299072
12-29,0.5084348859787372
12-30,0.47619441508119
12-31,0.4066783544150461
