,0
01-01,0.40825302428652527
01-02,0.477072415089159
01-03,0.49847203115988775
01-04,0.5040369017029629
01-05,0.5013230111112915
01-06,0.4848489670207357
01-07,0.46929753016170483
01-08,0.47122608338747374
01-09,0.47621546595859665
01-10,0.4679263431690124
01-11,0.4756348434633695
01-12,0.47181849675554854
01-13,0.4871468088025526
01-14,0.5030380183616461
01-15,0.4787369348032619
01-16,0.5012609200543339
01-17,0.5314245700563102
01-18,0.5373673381142201
01-19,0.5455500796224915
01-20,0.5444605535115377
01-21,0.5570493772726683
01-22,0.5463629741215947
01-23,0.5475622894217854
01-24,0.5186179595244795
01-25,0.49319915984087986
01-26,0.5047943248812454
01-27,0.506741733808363
01-28,0.49049186780185594
01-29,0.5227760281359181
01-30,0.5308482865997892
01-31,0.545519052387039
02-01,0.537508731506799
02-02,0.5325090466819827
02-03,0.5287574914168183
02-04,0.5206442832911059
02-05,0.5407016184386141
02-06,0.5448357896701551
02-07,0.5228683620382498
02-08,0.5117042238033175
02-09,0.5222552848803566
02-10,0.5261822750137609
02-11,0.5287687370778313
02-12,0.5305758518712022
02-13,0.5080182387714856
02-14,0.4881704847243601
02-15,0.4437682299010747
02-16,0.4466331068414937
02-17,0.4244152611972711
02-18,0.42573497413623906
02-19,0.4262232807137199
02-20,0.41709691316075737
02-21,0.420261383154133
02-22,0.4474029905533427
02-23,0.46268324705043395
02-24,0.4536318222862804
02-25,0.4395273110250547
02-26,0.4507583567641348
02-27,0.48110770891974936
02-28,0.5088694967890838
03-01,0.5145929368135287
03-02,0.5100373072914824
03-03,0.4888242802737507
03-04,0.4560345001550563
03-05,0.4506462824052316
03-06,0.4233273711418283
03-07,0.41406330125158686
03-08,0.4219026164933293
03-09,0.4159410587221861
03-10,0.407171315225837
03-11,0.39054387382046196
03-12,0.4007477314488564
03-13,0.4028209622332058
03-14,0.39453955352956877
03-15,0.38192067060372836
03-16,0.3979280492038809
03-17,0.44153927899321854
03-18,0.4401972381660304
03-19,0.41427653529978864
03-20,0.39218919375199135
03-21,0.3842354491084162
03-22,0.3845421262099965
03-23,0.37369396598310617
03-24,0.36239999916270843
03-25,0.34351029879613043
03-26,0.34813135770986925
03-27,0.34817437461496603
03-28,0.3309068132980855
03-29,0.33012423468595664
03-30,0.31937043274625854
03-31,0.32658059003030626
04-01,0.3372757664481578
04-02,0.3359660244729113
04-03,0.32908067338035296
04-04,0.33062114721376923
04-05,0.3037850486119651
04-06,0.2841677922910056
04-07,0.26823384256486915
04-08,0.25343462816283924
04-09,0.25647015820526786
04-10,0.2724343544548123
04-11,0.2833073656540055
04-12,0.3047400332678206
04-13,0.2983172437757041
04-14,0.2613381306780886
04-15,0.24859175265072903
04-16,0.246767565908045
04-17,0.23937456107109073
04-18,0.21332575190258032
04-19,0.20282378950640775
04-20,0.18459004608641771
04-21,0.16866642401828325
04-22,0.16581549005545065
04-23,0.17631341205825354
04-24,0.20898796332755754
04-25,0.2314056027960792
04-26,0.2488042500173302
04-27,0.27637184567207224
04-28,0.2599437260657287
04-29,0.2518280195114287
04-30,0.2490460907540124
05-01,0.23497587507966905
05-02,0.23552566611432862
05-03,0.2332506274515306
05-04,0.2074687074338845
05-05,0.2011707775634776
05-06,0.20765274071550405
05-07,0.19198789172610065
05-08,0.21220421957359528
05-09,0.21145279667285133
05-10,0.19068548738767682
05-11,0.17656556522517963
05-12,0.17418835692036083
05-13,0.1637174199386201
05-14,0.17020079674542235
05-15,0.16229950959416578
05-16,0.15685482453678176
05-17,0.17390448077017778
05-18,0.17698195840771738
05-19,0.1727653862736075
05-20,0.16409324441186018
05-21,0.14994366185712288
05-22,0.1430937550069084
05-23,0.13710218969727206
05-24,0.13502683856490943
05-25,0.13322316214774155
05-26,0.12410348423853594
05-27,0.12723320068913915
05-28,0.13133218740178035
05-29,0.1500128400596104
05-30,0.13745641891926186
05-31,0.13644700535390353
06-01,0.13565894349109808
06-02,0.12743906594427906
06-03,0.12274128563759329
06-04,0.1302959827553355
06-05,0.13950978365069738
06-06,0.14417810863072789
06-07,0.14138474503827025
06-08,0.14623018621311612
06-09,0.13486342378448818
06-10,0.13609540788177263
06-11,0.1399078977721201
06-12,0.14283907876504504
06-13,0.14091971298889155
06-14,0.13152616124488115
06-15,0.12625201325092633
06-16,0.11807565757941413
06-17,0.11528905893582296
06-18,0.11717432567614289
06-19,0.11755081829503838
06-20,0.11310522078761885
06-21,0.11324222053581193
06-22,0.11178621879466752
06-23,0.1091350014673461
06-24,0.1073504994646853
06-25,0.10599307038422429
06-26,0.10845991008678618
06-27,0.10460787823525439
06-28,0.10680195080401748
06-29,0.10654809846555158
06-30,0.09548014608123531
07-01,0.09514127040281024
07-02,0.09732205380585933
07-03,0.09636790127354766
07-04,0.09432939945128141
07-05,0.092765877510604
07-06,0.09221141025955067
07-07,0.0903224852361601
07-08,0.0919729588982566
07-09,0.09511173825673369
07-10,0.09394136219390187
07-11,0.09273328052834282
07-12,0.09241906419809123
07-13,0.09318418334053344
07-14,0.08940990511263623
07-15,0.08848637398773403
07-16,0.08895189212880784
07-17,0.08917370424500139
07-18,0.0869035531714488
07-19,0.08752047882102311
07-20,0.08757918350629978
07-21,0.08558651352845917
07-22,0.08681139203072727
07-23,0.08549544196852352
07-24,0.08850080405432986
07-25,0.08420021646941894
07-26,0.0862781318207315
07-27,0.08658044899803558
07-28,0.08920237360865059
07-29,0.08768271840946015
07-30,0.0880969366425147
07-31,0.0884342596121768
08-01,0.08610692857889776
08-02,0.08419747326220929
08-03,0.08059138536566932
08-04,0.07964870262679964
08-05,0.08124053632160096
08-06,0.08407433721594364
08-07,0.08561148170111595
08-08,0.08531668543346557
08-09,0.08771436278337542
08-10,0.08877948873128656
08-11,0.09009737157867656
08-12,0.08857159280718443
08-13,0.09179164990694672
08-14,0.09648772118326882
08-15,0.09031032093442398
08-16,0.09350620544589074
08-17,0.0904569437367068
08-18,0.09106470403734523
08-19,0.0924114247803959
08-20,0.09567845983821768
08-21,0.09236821865477288
08-22,0.087492899139425
08-23,0.08913746626960528
08-24,0.09238343107792221
08-25,0.0906790099159271
08-26,0.09164761269230402
08-27,0.09222097493670584
08-28,0.0924586065112287
08-29,0.09498216385104816
08-30,0.09882783460829311
08-31,0.1009063907865702
09-01,0.09865062599693379
09-02,0.10027562425639344
09-03,0.1090071419304325
09-04,0.1121861954069645
09-05,0.11211429405572285
09-06,0.11529535922954606
09-07,0.11636807227380222
09-08,0.1185090948091113
09-09,0.11723215986120465
09-10,0.11896397763321317
09-11,0.11711746879380627
09-12,0.11918614152936854
09-13,0.12511812395353505
09-14,0.13233955950638393
09-15,0.13263668801083303
09-16,0.13536671238289166
09-17,0.1358964260529996
09-18,0.13800621265757884
09-19,0.13327367767549686
09-20,0.13631024583002005
09-21,0.14220765183690434
09-22,0.1556497639652099
09-23,0.15274064472284357
09-24,0.1545500434498623
09-25,0.15660878314965698
09-26,0.14610699093138343
09-27,0.14862663234474804
09-28,0.15306834903636685
09-29,0.15912703361473288
09-30,0.17292635557120162
10-01,0.18519176406510168
10-02,0.1891595789549761
10-03,0.210865503820168
10-04,0.19922067337626562
10-05,0.1937215984437553
10-06,0.19969109295726944
10-07,0.21590102050683949
10-08,0.21016089435329507
10-09,0.20856290690124812
10-10,0.20201529372821408
10-11,0.19768231900042874
10-12,0.21661299642877083
10-13,0.20799181456308485
10-14,0.2250278883533721
10-15,0.2376095325743482
10-16,0.2295078251927533
10-17,0.2445610174864441
10-18,0.2526104845559181
10-19,0.25634718296861714
10-20,0.25616605891449523
10-21,0.2547115669161836
10-22,0.2786027696618874
10-23,0.28653234004972616
10-24,0.26449375928707725
10-25,0.284073225576853
10-26,0.29759713234772645
10-27,0.316993980645201
10-28,0.3308121776477297
10-29,0.34279269133753615
10-30,0.35948974747498186
10-31,0.3321343969702103
11-01,0.31412642244961486
11-02,0.33350337172703187
11-03,0.31716973805387316
11-04,0.3064242757671481
11-05,0.32570699487036764
11-06,0.3380351919497262
11-07,0.3317993736904473
11-08,0.36721185317756044
11-09,0.3659425004672862
11-10,0.3306074329474402
11-11,0.34199229308900064
11-12,0.3711184058995218
11-13,0.40458094892555396
11-14,0.38168006614212113
11-15,0.34753015986396774
11-16,0.3507426381537655
11-17,0.3736980218585096
11-18,0.39443511235540296
11-19,0.4299936706038806
11-20,0.43485459448710717
11-21,0.44720211259889886
11-22,0.4343374723271194
11-23,0.42593130711897326
11-24,0.41012191011944454
11-25,0.41794174915536364
11-26,0.4142817740939134
11-27,0.4127558329302528
11-28,0.4242853622222233
11-29,0.4427982410776845
11-30,0.46916406548942946
12-01,0.4453489042110503
12-02,0.4158361277048353
12-03,0.4080653247573283
12-04,0.4445889218943766
12-05,0.4182869084025737
12-06,0.36718929996479344
12-07,0.3783330472258376
12-08,0.42179717250033594
12-09,0.45602845863910524
12-10,0.4677346257503133
12-11,0.49068984687699013
12-12,0.49517897721087667
12-13,0.4809758179658684
12-14,0.49292311447194814
12-15,0.4807309928462892
12-16,0.45227148799408956
12-17,0.44718053196287433
12-18,0.4398501214728706
12-19,0.3987123476158345
12-20,0.3882788335667068
12-21,0.38963274071519866
12-22,0.36604799959624923
12-23,0.3775738357069688
12-24,0.3816244766965529
12-25,0.3641738072153602
12-26,0.36514928801706725
12-27,0.40164231919341364
12-28,0.4034038873229534
12-29,0.39397221915299624
12-30,0.37600182033497465
12-31,0.3922238247442452
