date,GB_ldz_natural_gas_kWh,heat_as_an_estimated_fraction_of_GB_ldz_natural_gas_demand,GB_ldz_heat_from_natural_gas_kWh
01/01/2015,1935024305,0.865846858,1675434714
02/01/2015,2100387713,0.866804139,1820624764
03/01/2015,2279309201,0.867761421,1977896591
04/01/2015,2502221978,0.868718703,2173727031
05/01/2015,2319574134,0.869675985,2017277919
06/01/2015,2275869924,0.870633266,1981448065
07/01/2015,2408106837,0.871590548,2098883158
08/01/2015,2181788139,0.87254783,1903714506
09/01/2015,2005498474,0.873505112,1751813168
10/01/2015,2038529645,0.874462393,1782617512
11/01/2015,2310455036,0.875419675,2022617797
12/01/2015,2250974535,0.876376957,1972702213
13/01/2015,2397394486,0.877334239,2103316266
14/01/2015,2596982437,0.87829152,2280907653
15/01/2015,2500706166,0.879248802,2198742901
16/01/2015,2619989344,0.880206084,2306130560
17/01/2015,2620006135,0.881163366,2308653424
18/01/2015,2635994568,0.882120647,2325265234
19/01/2015,2898851175,0.883077929,2559911492
20/01/2015,2934138368,0.884035211,2593881631
21/01/2015,2862980587,0.884992493,2533716326
22/01/2015,2844090585,0.885949774,2519721412
23/01/2015,2816098029,0.886907056,2497617212
24/01/2015,2468628258,0.886907056,2189443821
25/01/2015,2362118407,0.886907056,2094979482
26/01/2015,2337173064,0.886907056,2072855282
27/01/2015,2378265801,0.886907056,2109300720
28/01/2015,2566109965,0.886907056,2275901034
29/01/2015,2783469623,0.886907056,2468678849
30/01/2015,2677734771,0.886907056,2374901862
31/01/2015,2690134535,0.886907056,2385899301
01/02/2015,2766206606,0.886907056,2453368157
02/02/2015,3030717503,0.886907056,2687964738
03/02/2015,2983622570,0.886907056,2646195910
04/02/2015,2911060065,0.886907056,2581839712
05/02/2015,2858087552,0.886907056,2534858017
06/02/2015,2853467975,0.886907056,2530760881
07/02/2015,2659212072,0.886907056,2358473950
08/02/2015,2482472957,0.886907056,2201722782
09/02/2015,2493176382,0.886907056,2211215725
10/02/2015,2586347889,0.886907056,2293850192
11/02/2015,2588636088,0.886907056,2295879612
12/02/2015,2558930614,0.886907056,2269533617
13/02/2015,2424142763,0.886907056,2149989321
14/02/2015,2146308929,0.886907056,1903576533
15/02/2015,2124577441,0.886907056,1884302723
16/02/2015,2386066417,0.886907056,2116219141
17/02/2015,2386641122,0.886907056,2116728851
18/02/2015,2273378557,0.886907056,2016275483
19/02/2015,2337303086,0.886907056,2072970599
20/02/2015,2326894255,0.886907056,2063738933
21/02/2015,2357639398,0.886907056,2091007018
22/02/2015,2576403114,0.886907056,2285030101
23/02/2015,2505446514,0.886907056,2222098192
24/02/2015,2462635883,0.886907056,2184129141
25/02/2015,2158665315,0.886907056,1914535499
26/02/2015,2175918584,0.886907056,1929837545
27/02/2015,2258825205,0.886907056,2003368013
28/02/2015,2070192995,0.886907056,1836068775
01/03/2015,2135990270,0.886907056,1894424842
02/03/2015,2490361764,0.886907056,2208719420
03/03/2015,2429971562,0.886907056,2155158924
04/03/2015,2347585659,0.886907056,2082090286
05/03/2015,2288183557,0.886907056,2029406142
06/03/2015,1928958782,0.886907056,1710807154
07/03/2015,1681581480,0.886907056,1491406480
08/03/2015,1850899711,0.886907056,1641576014
09/03/2015,2258020654,0.886907056,2002654451
10/03/2015,1990180835,0.886907056,1765105425
11/03/2015,2072704333,0.883708204,1831665824
12/03/2015,1910010444,0.880509352,1681782059
13/03/2015,2052601016,0.877310501,1800768425
14/03/2015,2177473551,0.874111649,1903354996
15/03/2015,2206695660,0.870912797,1921839489
16/03/2015,2243625242,0.867713945,1946824910
17/03/2015,2105017183,0.864515093,1819819127
18/03/2015,2090362544,0.861316242,1800463210
19/03/2015,2143692653,0.85811739,1839539944
20/03/2015,1914949672,0.854918538,1637125974
21/03/2015,1919382314,0.851719686,1634775702
22/03/2015,1867889546,0.848520834,1584943196
23/03/2015,1994782942,0.845321983,1686233872
24/03/2015,2033802613,0.842123131,1712712224
25/03/2015,2036495092,0.838924279,1708465177
26/03/2015,2065265171,0.835725427,1725994617
27/03/2015,1862654147,0.832526575,1550709078
28/03/2015,1626347099,0.829327724,1348774738
