,0
01-01,1.4757999061131974
01-02,1.7781077580838098
01-03,1.7612570285019484
01-04,1.617996328260753
01-05,1.5357961888057332
01-06,1.9787183681964322
01-07,1.7449102562097558
01-08,1.5034864269609276
01-09,1.674355787608439
01-10,1.9318717556747078
01-11,2.0658204193798992
01-12,1.4790787337579407
01-13,1.561219834690746
01-14,1.705321051280675
01-15,1.6167553290722287
01-16,1.6718596293750698
01-17,1.9721240711926429
01-18,1.7510310484505631
01-19,1.9422671534450007
01-20,1.8080798556965314
01-21,1.4160981348768633
01-22,2.0242851812363405
01-23,2.410183690830153
01-24,2.2037899944034005
01-25,1.3360478870861041
01-26,1.481159227537189
01-27,1.3929463684679455
01-28,1.5059857961249197
01-29,1.5793374850393211
01-30,2.021735180099467
01-31,1.458310192590874
02-01,1.4798790224216005
02-02,1.5550014764444258
02-03,1.5796024759817575
02-04,1.660592496329371
02-05,1.9009680848806703
02-06,1.7998941795836605
02-07,1.7645213113476281
02-08,2.0396186553221614
02-09,1.757415328608279
02-10,1.8153963163726718
02-11,1.9327825662391933
02-12,1.649190625947322
02-13,1.3765186506276776
02-14,1.7437981528359505
02-15,1.7139326625823375
02-16,1.569369345058554
02-17,2.404483318972585
02-18,2.1114517672496507
02-19,1.8655744477336174
02-20,1.51991326333401
02-21,1.8994484937046512
02-22,1.741407581771543
02-23,1.5377380191501493
02-24,1.7389038704831123
02-25,1.6570085884953882
02-26,1.4634642149751511
02-27,1.468122481750366
02-28,1.9901717500997556
03-01,2.6105868467047735
03-02,1.9129414929200286
03-03,2.037685807747705
03-04,2.1646520086873258
03-05,1.7654395630457684
03-06,1.8184036119306837
03-07,1.8622606042407237
03-08,1.3057881190038512
03-09,1.7132425411930206
03-10,1.9847583615725255
03-11,1.9278410584152434
03-12,2.399768819518616
03-13,2.8061278136643883
03-14,1.8051607625208475
03-15,1.6572746810991583
03-16,1.6251677064814383
03-17,1.9695999751103226
03-18,1.923630843197987
03-19,1.6007582402118088
03-20,1.7424136568219422
03-21,1.5296018755510938
03-22,1.8170626396873668
03-23,2.0467739013736908
03-24,2.4603580149187096
03-25,2.4564928479127843
03-26,2.109277130552989
03-27,1.6035131453149827
03-28,2.2740934445815983
03-29,1.9511990000046484
03-30,1.965654755400339
03-31,1.8015561365418744
04-01,1.9848461845732166
04-02,1.8133083716795695
04-03,1.4276784731067613
04-04,1.6486736248470613
